Περιγραφή,Κωδικός,Έτος,Μήνας,Sales
FAMOZO CLEAR RFL 750ML 16PCS,030406,2020,Δεκέμβριος,216
ΕΥΡ HM ΤΖΑΜΙΑ CRYSTAL TRG 750ML -1€,030701,2020,Ιανουάριος,387
ΕΥΡ HM ΤΖΑΜΙΑ CRYSTAL TRG 750ML -1€,030701,2020,Φεβρουάριος,348
ΕΥΡ HM ΤΖΑΜΙΑ CRYSTAL TRG 750ML -1€,030701,2020,Μάρτιος,869
ΕΥΡ HM ΤΖΑΜΙΑ CRYSTAL TRG 750ML -1€,030701,2020,Απρίλιος,522
ΕΥΡ HM ΤΖΑΜΙΑ CRYSTAL TRG 750ML -1€,030701,2020,Μάιος,446
ΕΥΡ HM ΤΖΑΜΙΑ CRYSTAL TRG 750ML -1€,030701,2020,Ιούνιος,555
ΕΥΡ HM ΤΖΑΜΙΑ CRYSTAL TRG 750ML -1€,030701,2020,Ιούλιος,301
ΕΥΡ HM ΤΖΑΜΙΑ CRYSTAL TRG 750ML -1€,030701,2020,Αύγουστος,0
ΕΥΡ HM ΤΖΑΜΙΑ CRYSTAL TRG 750ML -1€,030701,2020,Σεπτέμβριος,410
ΕΥΡ HM ΤΖΑΜΙΑ CRYSTAL TRG 750ML -1€,030701,2020,Οκτώβριος,645
ΕΥΡ HM ΤΖΑΜΙΑ CRYSTAL TRG 750ML -1€,030701,2020,Νοέμβριος,751
ΕΥΡ HM ΤΖΑΜΙΑ CRYSTAL TRG 750ML -1€,030701,2020,Δεκέμβριος,827
"ΕΥΡ HM ΤΖΑΜΙΑ CRYSTAL RFL 750ML-0,9€",030721,2020,Ιανουάριος,294
"ΕΥΡ HM ΤΖΑΜΙΑ CRYSTAL RFL 750ML-0,9€",030721,2020,Φεβρουάριος,308
"ΕΥΡ HM ΤΖΑΜΙΑ CRYSTAL RFL 750ML-0,9€",030721,2020,Μάρτιος,523
"ΕΥΡ HM ΤΖΑΜΙΑ CRYSTAL RFL 750ML-0,9€",030721,2020,Απρίλιος,421
"ΕΥΡ HM ΤΖΑΜΙΑ CRYSTAL RFL 750ML-0,9€",030721,2020,Μάιος,252
"ΕΥΡ HM ΤΖΑΜΙΑ CRYSTAL RFL 750ML-0,9€",030721,2020,Ιούνιος,284
"ΕΥΡ HM ΤΖΑΜΙΑ CRYSTAL RFL 750ML-0,9€",030721,2020,Ιούλιος,301
"ΕΥΡ HM ΤΖΑΜΙΑ CRYSTAL RFL 750ML-0,9€",030721,2020,Αύγουστος,320
"ΕΥΡ HM ΤΖΑΜΙΑ CRYSTAL RFL 750ML-0,9€",030721,2020,Σεπτέμβριος,427
"ΕΥΡ HM ΤΖΑΜΙΑ CRYSTAL RFL 750ML-0,9€",030721,2020,Οκτώβριος,366
"ΕΥΡ HM ΤΖΑΜΙΑ CRYSTAL RFL 750ML-0,9€",030721,2020,Νοέμβριος,463
"ΕΥΡ HM ΤΖΑΜΙΑ CRYSTAL RFL 750ML-0,9€",030721,2020,Δεκέμβριος,433
ΕΥΡΗΚΑ ΥΓΡΟ 750 ML,031010CYP,2020,Ιανουάριος,808
ΕΥΡΗΚΑ ΥΓΡΟ 750 ML,031010CYP,2020,Φεβρουάριος,135
ΕΥΡΗΚΑ ΥΓΡΟ 750 ML,031010CYP,2020,Μάρτιος,786
ΕΥΡΗΚΑ ΥΓΡΟ 750 ML,031010CYP,2020,Απρίλιος,0
ΕΥΡΗΚΑ ΥΓΡΟ 750 ML,031010CYP,2020,Μάιος,1260
ΕΥΡΗΚΑ ΥΓΡΟ 750 ML,031010CYP,2020,Ιούνιος,913
ΕΥΡΗΚΑ ΥΓΡΟ 750 ML,031010CYP,2020,Ιούλιος,839
ΕΥΡΗΚΑ ΥΓΡΟ 750 ML,031010CYP,2020,Αύγουστος,0
ΕΥΡΗΚΑ ΥΓΡΟ 750 ML,031010CYP,2020,Σεπτέμβριος,900
ΕΥΡΗΚΑ ΥΓΡΟ 750 ML,031010CYP,2020,Οκτώβριος,755
ΕΥΡΗΚΑ ΥΓΡΟ 750 ML,031010CYP,2020,Νοέμβριος,450
ΕΥΡΗΚΑ ΥΓΡΟ 750 ML,031010CYP,2020,Δεκέμβριος,450
ΕΥΡΗΚΑ ΥΓ ΠΙΑΤ ΠΟΡΤΟΚΑΛΙ 750ML,031030CYP,2020,Ιανουάριος,405
ΕΥΡΗΚΑ ΥΓ ΠΙΑΤ ΠΟΡΤΟΚΑΛΙ 750ML,031030CYP,2020,Φεβρουάριος,0
ΕΥΡΗΚΑ ΥΓ ΠΙΑΤ ΠΟΡΤΟΚΑΛΙ 750ML,031030CYP,2020,Μάρτιος,688
ΕΥΡΗΚΑ ΥΓ ΠΙΑΤ ΠΟΡΤΟΚΑΛΙ 750ML,031030CYP,2020,Απρίλιος,0
ΕΥΡΗΚΑ ΥΓ ΠΙΑΤ ΠΟΡΤΟΚΑΛΙ 750ML,031030CYP,2020,Μάιος,540
ΕΥΡΗΚΑ ΥΓ ΠΙΑΤ ΠΟΡΤΟΚΑΛΙ 750ML,031030CYP,2020,Ιούνιος,540
ΕΥΡΗΚΑ ΥΓ ΠΙΑΤ ΠΟΡΤΟΚΑΛΙ 750ML,031030CYP,2020,Ιούλιος,180
ΕΥΡΗΚΑ ΥΓ ΠΙΑΤ ΠΟΡΤΟΚΑΛΙ 750ML,031030CYP,2020,Αύγουστος,0
ΕΥΡΗΚΑ ΥΓ ΠΙΑΤ ΠΟΡΤΟΚΑΛΙ 750ML,031030CYP,2020,Σεπτέμβριος,360
ΕΥΡΗΚΑ ΥΓ ΠΙΑΤ ΠΟΡΤΟΚΑΛΙ 750ML,031030CYP,2020,Οκτώβριος,225
ΕΥΡΗΚΑ ΥΓ ΠΙΑΤ ΠΟΡΤΟΚΑΛΙ 750ML,031030CYP,2020,Νοέμβριος,450
ΕΥΡΗΚΑ ΥΓ ΠΙΑΤ ΠΟΡΤΟΚΑΛΙ 750ML,031030CYP,2020,Δεκέμβριος,307
ΕΥΡΗΚΑ ΥΓ ΠΙΑΤ PLUS 750ML 18ΤΜΧ,031161CYP,2020,Ιανουάριος,330
ΕΥΡΗΚΑ ΥΓ ΠΙΑΤ PLUS 750ML 18ΤΜΧ,031161CYP,2020,Φεβρουάριος,252
ΕΥΡΗΚΑ ΥΓ ΠΙΑΤ PLUS 750ML 18ΤΜΧ,031161CYP,2020,Μάρτιος,714
ΕΥΡΗΚΑ ΥΓ ΠΙΑΤ PLUS 750ML 18ΤΜΧ,031161CYP,2020,Απρίλιος,0
ΕΥΡΗΚΑ ΥΓ ΠΙΑΤ PLUS 750ML 18ΤΜΧ,031161CYP,2020,Μάιος,0
ΕΥΡΗΚΑ ΥΓ ΠΙΑΤ PLUS 750ML 18ΤΜΧ,031161CYP,2020,Ιούνιος,0
ΕΥΡΗΚΑ ΥΓ ΠΙΑΤ PLUS 750ML 18ΤΜΧ,031161CYP,2020,Ιούλιος,1224
ΕΥΡΗΚΑ ΥΓ ΠΙΑΤ PLUS 750ML 18ΤΜΧ,031161CYP,2020,Αύγουστος,0
ΕΥΡΗΚΑ ΥΓ ΠΙΑΤ PLUS 750ML 18ΤΜΧ,031161CYP,2020,Σεπτέμβριος,324
ΕΥΡΗΚΑ ΥΓ ΠΙΑΤ PLUS 750ML 18ΤΜΧ,031161CYP,2020,Οκτώβριος,252
ΕΥΡΗΚΑ ΥΓ ΠΙΑΤ PLUS 750ML 18ΤΜΧ,031161CYP,2020,Νοέμβριος,0
ΕΥΡΗΚΑ ΥΓ ΠΙΑΤ PLUS 750ML 18ΤΜΧ,031161CYP,2020,Δεκέμβριος,144
"ΕΥΡΗΚΑ ΥΓΡΟ ΠΙΑΤΩΝ PLUS 750ML -0,40€",031163CYP,2020,Ιανουάριος,468
"ΕΥΡΗΚΑ ΥΓΡΟ ΠΙΑΤΩΝ PLUS 750ML -0,40€",031163CYP,2020,Φεβρουάριος,252
"ΕΥΡΗΚΑ ΥΓΡΟ ΠΙΑΤΩΝ PLUS 750ML -0,40€",031163CYP,2020,Μάρτιος,550
"ΕΥΡΗΚΑ ΥΓΡΟ ΠΙΑΤΩΝ PLUS 750ML -0,40€",031163CYP,2020,Απρίλιος,0
"ΕΥΡΗΚΑ ΥΓΡΟ ΠΙΑΤΩΝ PLUS 750ML -0,40€",031163CYP,2020,Μάιος,0
"ΕΥΡΗΚΑ ΥΓΡΟ ΠΙΑΤΩΝ PLUS 750ML -0,40€",031163CYP,2020,Ιούνιος,0
"ΕΥΡΗΚΑ ΥΓΡΟ ΠΙΑΤΩΝ PLUS 750ML -0,40€",031163CYP,2020,Ιούλιος,1224
"ΕΥΡΗΚΑ ΥΓΡΟ ΠΙΑΤΩΝ PLUS 750ML -0,40€",031163CYP,2020,Αύγουστος,0
"ΕΥΡΗΚΑ ΥΓΡΟ ΠΙΑΤΩΝ PLUS 750ML -0,40€",031163CYP,2020,Σεπτέμβριος,180
"ΕΥΡΗΚΑ ΥΓΡΟ ΠΙΑΤΩΝ PLUS 750ML -0,40€",031163CYP,2020,Οκτώβριος,353
"ΕΥΡΗΚΑ ΥΓΡΟ ΠΙΑΤΩΝ PLUS 750ML -0,40€",031163CYP,2020,Νοέμβριος,540
"ΕΥΡΗΚΑ ΥΓΡΟ ΠΙΑΤΩΝ PLUS 750ML -0,40€",031163CYP,2020,Δεκέμβριος,0
ΕΥΡΗΚΑ EXTRA 500 ML ΚΥΠΡΟΥ,031200CYP,2020,Ιανουάριος,840
ΕΥΡΗΚΑ EXTRA 500 ML ΚΥΠΡΟΥ,031200CYP,2020,Φεβρουάριος,606
ΕΥΡΗΚΑ EXTRA 500 ML ΚΥΠΡΟΥ,031200CYP,2020,Μάρτιος,1557
ΕΥΡΗΚΑ EXTRA 500 ML ΚΥΠΡΟΥ,031200CYP,2020,Απρίλιος,0
ΕΥΡΗΚΑ EXTRA 500 ML ΚΥΠΡΟΥ,031200CYP,2020,Μάιος,0
ΕΥΡΗΚΑ EXTRA 500 ML ΚΥΠΡΟΥ,031200CYP,2020,Ιούνιος,1386
ΕΥΡΗΚΑ EXTRA 500 ML ΚΥΠΡΟΥ,031200CYP,2020,Ιούλιος,1207
ΕΥΡΗΚΑ EXTRA 500 ML ΚΥΠΡΟΥ,031200CYP,2020,Αύγουστος,0
ΕΥΡΗΚΑ EXTRA 500 ML ΚΥΠΡΟΥ,031200CYP,2020,Σεπτέμβριος,1610
ΕΥΡΗΚΑ EXTRA 500 ML ΚΥΠΡΟΥ,031200CYP,2020,Οκτώβριος,420
ΕΥΡΗΚΑ EXTRA 500 ML ΚΥΠΡΟΥ,031200CYP,2020,Νοέμβριος,1050
ΕΥΡΗΚΑ EXTRA 500 ML ΚΥΠΡΟΥ,031200CYP,2020,Δεκέμβριος,0
ΕΥΡΗΚΑ ΥΓ ΠΙΑΤ EXTRA 750ML 18ΤΜΧ,031251CYP,2020,Ιανουάριος,504
ΕΥΡΗΚΑ ΥΓ ΠΙΑΤ EXTRA 750ML 18ΤΜΧ,031251CYP,2020,Φεβρουάριος,396
ΕΥΡΗΚΑ ΥΓ ΠΙΑΤ EXTRA 750ML 18ΤΜΧ,031251CYP,2020,Μάρτιος,922
ΕΥΡΗΚΑ ΥΓ ΠΙΑΤ EXTRA 750ML 18ΤΜΧ,031251CYP,2020,Απρίλιος,720
ΕΥΡΗΚΑ ΥΓ ΠΙΑΤ EXTRA 750ML 18ΤΜΧ,031251CYP,2020,Μάιος,144
ΕΥΡΗΚΑ ΥΓ ΠΙΑΤ EXTRA 750ML 18ΤΜΧ,031251CYP,2020,Ιούνιος,143
ΕΥΡΗΚΑ ΥΓ ΠΙΑΤ EXTRA 750ML 18ΤΜΧ,031251CYP,2020,Ιούλιος,1891
ΕΥΡΗΚΑ ΥΓ ΠΙΑΤ EXTRA 750ML 18ΤΜΧ,031251CYP,2020,Αύγουστος,0
ΕΥΡΗΚΑ ΥΓ ΠΙΑΤ EXTRA 750ML 18ΤΜΧ,031251CYP,2020,Σεπτέμβριος,1346
ΕΥΡΗΚΑ ΥΓ ΠΙΑΤ EXTRA 750ML 18ΤΜΧ,031251CYP,2020,Οκτώβριος,360
ΕΥΡΗΚΑ ΥΓ ΠΙΑΤ EXTRA 750ML 18ΤΜΧ,031251CYP,2020,Νοέμβριος,648
ΕΥΡΗΚΑ ΥΓ ΠΙΑΤ EXTRA 750ML 18ΤΜΧ,031251CYP,2020,Δεκέμβριος,0
"ΕΥΡΗΚΑ ΥΓ ΠΙΑΤΩΝ EXTRA 750ML -0,40€",031253CYP,2020,Ιανουάριος,504
"ΕΥΡΗΚΑ ΥΓ ΠΙΑΤΩΝ EXTRA 750ML -0,40€",031253CYP,2020,Φεβρουάριος,385
"ΕΥΡΗΚΑ ΥΓ ΠΙΑΤΩΝ EXTRA 750ML -0,40€",031253CYP,2020,Μάρτιος,648
"ΕΥΡΗΚΑ ΥΓ ΠΙΑΤΩΝ EXTRA 750ML -0,40€",031253CYP,2020,Απρίλιος,396
"ΕΥΡΗΚΑ ΥΓ ΠΙΑΤΩΝ EXTRA 750ML -0,40€",031253CYP,2020,Μάιος,504
"ΕΥΡΗΚΑ ΥΓ ΠΙΑΤΩΝ EXTRA 750ML -0,40€",031253CYP,2020,Ιούνιος,914
"ΕΥΡΗΚΑ ΥΓ ΠΙΑΤΩΝ EXTRA 750ML -0,40€",031253CYP,2020,Ιούλιος,900
"ΕΥΡΗΚΑ ΥΓ ΠΙΑΤΩΝ EXTRA 750ML -0,40€",031253CYP,2020,Αύγουστος,0
"ΕΥΡΗΚΑ ΥΓ ΠΙΑΤΩΝ EXTRA 750ML -0,40€",031253CYP,2020,Σεπτέμβριος,540
"ΕΥΡΗΚΑ ΥΓ ΠΙΑΤΩΝ EXTRA 750ML -0,40€",031253CYP,2020,Οκτώβριος,0
"ΕΥΡΗΚΑ ΥΓ ΠΙΑΤΩΝ EXTRA 750ML -0,40€",031253CYP,2020,Νοέμβριος,1296
"ΕΥΡΗΚΑ ΥΓ ΠΙΑΤΩΝ EXTRA 750ML -0,40€",031253CYP,2020,Δεκέμβριος,0
RIVEX F/P CLASSIC 400ML PROMO 12PCS^,0356ROM,2020,Ιανουάριος,0
RIVEX F/P CLASSIC 400ML PROMO 12PCS^,0356ROM,2020,Φεβρουάριος,523
RIVEX F/P CLASSIC 400ML PROMO 12PCS^,0356ROM,2020,Μάρτιος,625
RIVEX F/P CLASSIC 400ML PROMO 12PCS^,0356ROM,2020,Απρίλιος,0
RIVEX F/P CLASSIC 400ML PROMO 12PCS^,0356ROM,2020,Μάιος,0
RIVEX F/P CLASSIC 400ML PROMO 12PCS^,0356ROM,2020,Ιούνιος,0
RIVEX F/P CLASSIC 400ML PROMO 12PCS^,0356ROM,2020,Ιούλιος,0
RIVEX F/P CLASSIC 400ML PROMO 12PCS^,0356ROM,2020,Αύγουστος,0
RIVEX F/P CLASSIC 400ML PROMO 12PCS^,0356ROM,2020,Σεπτέμβριος,828
RIVEX F/P CLASSIC 400ML PROMO 12PCS^,0356ROM,2020,Οκτώβριος,622
RIVEX F/P CLASSIC 400ML PROMO 12PCS^,0356ROM,2020,Νοέμβριος,0
RIVEX F/P CLASSIC 400ML PROMO 12PCS^,0356ROM,2020,Δεκέμβριος,378
RIVEX F/P CLASSIC 300ML 12PCS^,0369ROM,2020,Ιανουάριος,805
